Year,Duration,Genre,Rating,Votes,Director,Actor 1,Actor 2,Actor 3
2018,131,Thriller,6.0,35,Awani Agrawal,Rajpal Yadav,Rajeev Vashishth,Sourav Chakraborty
2010,131,Drama,6.0,35,Swabri Abdulkhader Khasim,Ajmal Ameer,Unknown,Unknown
2008,140,"Comedy, Drama, Romance",4.1,808,Eeshwar Nivas,Aftab Shivdasani,Riteish Deshmukh,Ayesha Takia
2016,126,"Comedy, Thriller",6.4,10,Prashant Passy Pilley,Manisha Chauhan,Nidhi Gupta,Saurabh Kishore
2006,102,"Crime, Thriller",6.3,585,Tanveer Khan,Rajit Kapoor,Konkona Sen Sharma,Jhanak Shukla
1991,131,Drama,6.0,35,Unknown,Unknown,Unknown,Unknown
2016,95,"Drama, Family",6.3,384,Tanuj Bhramar,Arvind Swamy,Ekavali Khanna,Himanshu Sharma
2017,111,"Drama, Romance",5.8,390,Sunaina Bhatnagar,Manisha Koirala,Madiha Imam,Shreya Chaudhary
2018,91,Drama,7.8,10,Gajendra Ahire,Alok Rajwade,Mrinmayee Godbole,Gurbani Gill
2014,145,"Adventure, Thriller",6.6,18,Sanjeev Vedwan,Uttar Kumar,Kavita Joshi,Manoj Bakshi
2016,151,"Drama, Romance",7.5,35,Gauri Shinde,Alia Bhatt,Shah Rukh Khan,Kunal Kapoor
1915,131,Unknown,6.0,35,Shree Nath Patankar,G. Ranade,D. Joshi,K.G. Gokhale
1987,100,Drama,7.5,22,Utpalendu Chakrabarty,Bijoy Dey,Noni Ganguly,Rohini Hattangadi
1936,158,Unknown,6.0,35,Mehboob Khan,Surendra,Ramchandra,Pandey
1962,131,Action,6.0,35,Aakkoo,Indira Bansal,Sheila Kashmiri,Krishna Kumari
1991,131,Family,6.0,35,Bobby Khan,Dhruv Malik,Ravi Kishan,Govind Namdeo
2018,52,"Documentary, Music",6.0,35,Deepti Pillay Sivan,Javed Akhtar,Amitabh Bachchan,Shreya Ghoshal
2014,152,"Comedy, Drama, Romance",7.1,35,Abhishek Chaubey,Madhuri Dixit,Naseeruddin Shah,Arshad Warsi
2014,131,Drama,6.0,35,Jayprakkash Shaw,Wasim Khan,Unknown,Unknown
1992,130,"Drama, Romance",4.3,578,Pramod Chakravorty,Akshay Kumar,Karisma Kapoor,Laxmikant Berde
1951,130,"Musical, Romance",7.6,198,Nitin Bose,Nargis,Ashok Kumar,Dilip Kumar
1970,131,Romance,6.0,35,Jugal Kishore,Dheeraj Kumar,Anjana Choudhury,Premendra
1982,131,"Drama, Romance",5.3,45,Harnam Singh Rawail,Jeetendra,Rekha,Rishi Kapoor
1979,131,Drama,6.0,35,A. Shamsheer,Jalal Agha,Birbal,Paidi Jairaj
2020,131,Biography,6.0,35,Manoj Giri,Deepika Chikhalia,Anita Raj,Abhay Shukla
1996,131,Thriller,6.0,35,Dilip Dhadha,Pankaj Kumar,Munna,Ravikiran
2021,101,Thriller,6.0,35,Bharath Bhushan Nethi,Anjum Rajabali,Kapil Chaudhary,Pavan Aryaveer Rajput
1959,131,"Drama, Family, Romance",6.0,35,Datta Dharmadhikari,Abhi Bhattacharya,Manju,Randhir
1963,131,Unknown,6.0,35,Harsukh Jagneshwar Bhatt,Sulochana Chatterjee,Chaman Puri,Unknown
1940,131,Unknown,6.0,35,Dwarka Khosla,Prithviraj Kapoor,Ashalata Wabgaonkar,Vatsala
2001,153,"Action, Romance",4.6,418,Ashu Trikha,Arjun Rampal,Dia Mirza,Vinod Khanna
2021,131,Romance,6.0,35,Raam Sharma,Kader Khan,Sadashiv Amrapurkar,Kunickaa Sadanand
1976,168,"Action, Crime, Drama",6.5,40,Samir Ganguly,Shashi Kapoor,Zeenat Aman,Ranjeet
1975,174,"Action, Crime, Drama",8.1,35,Yash Chopra,Amitabh Bachchan,Shashi Kapoor,Nirupa Roy
1952,131,Romance,5.0,10,Abdul Rashid Kardar,Suraiya,Sumitra Devi,Suresh
1992,185,"Action, Comedy, Crime",6.9,35,Raj Kanwar,Rishi Kapoor,Divya Bharti,Shah Rukh Khan
1950,131,Romance,6.0,35,Gyan Mukherjee,Unknown,Unknown,Unknown
1992,131,Action,6.0,35,Gulshan Arora,Nutan,Pran,Gulshan Arora
2005,131,Thriller,6.0,35,Shakeela,Unknown,Unknown,Unknown
1998,131,"Drama, Family, Action",4.1,8,Mohanji Prasad,Rakesh Bedi,Laxmikant Berde,Vikas Bhalla
2013,130,"Comedy, Drama, Romance",2.4,339,K.C. Bokadia,Govinda,Priyanka Chopra Jonas,Nasir Khan
1997,140,"Comedy, Romance",6.7,35,David Dhawan,Anil Kapoor,Govinda,Juhi Chawla
1990,130,"Romance, Comedy, Drama",5.7,953,Y. Nageswara Rao,M. Parvez,Aamir Khan,Madhuri Dixit
1987,97,"Drama, Romance",5.0,25,Deepak Bahry,Mithun Chakraborty,Vijayata Pandit,Danny Denzongpa
2000,164,"Action, Romance",4.7,587,Harry Baweja,Ajay Devgn,Urmila Matondkar,Mahima Chaudhry
1991,131,Romance,3.2,6,Chander Sharma,Akashdeep,Beena Banerjee,Bindu
2005,158,"Action, Comedy, Drama",5.3,35,Vikram Bhatt,Shahid Kapoor,Akshay Kumar,Sunil Shetty
2004,131,Romance,6.0,35,Unknown,Unknown,Unknown,Unknown
2002,169,"Crime, Drama, Mystery",6.6,35,Anees Bazmee,Ajay Devgn,Akshaye Khanna,Urmila Matondkar
2002,131,Thriller,6.0,35,Sajani,Shakeela,Unknown,Unknown
1955,131,Drama,6.0,35,Master Bhagwan,Karan Dewan,Kuldip Kaur,Sheikh Mukhtar
2007,126,Romance,6.4,66,Mahesh Manjrekar,Mahesh Manjrekar,Jaya Prada,Supriya Karnik
1947,131,Drama,6.0,35,Jeevan,Nand Kishore,Ranjeeta Kumari,Unknown
2021,131,"Comedy, Musical",6.0,35,Manoj Sharma,Ganesh Acharya,Ravi Kishan,Manoj Joshi
1991,131,Action,6.0,35,Unknown,Unknown,Unknown,Unknown
2013,131,Thriller,5.6,50,Milind Ukey,Adhyayan Suman,Rati Agnihotri,Muntazir Ahmad
2021,131,Sci-Fi,6.0,35,Abhijeet Warang,Sharad Kelkar,Amruta Khanvilkar,Kishori Shahane
2009,105,"Comedy, Crime, Drama",4.5,26,Rahat Kazmi,Gracy Singh,Siddharth Koirala,Raghuvir Yadav
1957,141,"Comedy, Romance",7.4,29,Amiya Chakrabarty,Anita Guha,Anoop Kumar,Jawahar Kaul
2021,131,"Music, Romance",6.0,35,Saaz Khan,Shaim Khan,Saif Aly,Syed Fardeen
2014,110,Comedy,6.1,284,Feroz Abbas Khan,Satish Kaushik,Tanvi Azmi,Vinay Jain
1939,131,Unknown,6.0,35,Jagatrai Pesumal Advani,Madhurika Devi,Jeevan,Unknown
1960,131,Action,6.0,35,Amarnath,Kamran,Lillian,G.P. Sippy
2013,131,Romance,6.0,35,Mohd. Shamim Khan,Sudesh Berry,Jaswinder Gardner,Mohd. Shamim Khan
1963,131,Unknown,6.0,35,Kalpataru,Master Bhagwan,Helen,Shyam Kumar
1985,138,"Comedy, Drama",5.6,38,Virendra Sharma,Kamal Haasan,Rati Agnihotri,Deven Verma
1991,131,Comedy,6.0,35,Shrabani Deodhar,Manoj Joshi,Shakti Anand,Hussain Kuwajerwala
1961,131,Comedy,6.0,35,Kailash Bhandari,Daljeet,Purnima,Shammi
2018,98,Drama,5.9,24,Shadab Khan,Shadab Khan,Shadab Khan,Shadab Khan
2011,103,"Action, Comedy, Crime",7.6,35,Abhinay Deo,Akshat Verma,Imran Khan,Vir Das
2009,58,Documentary,6.0,35,Reena Kukreja,Unknown,Unknown,Unknown
2018,131,Thriller,6.0,35,Sharique Minhaj,Neelima Azim,Azad Hussain,Reyna Vashishtha
1956,131,Unknown,6.0,35,Chandrakant,Prem Adib,Helen,Minoo Mumtaz
1949,131,Unknown,6.0,35,Balwant Bhatt,Fearless Nadia,Unknown,Unknown
1935,131,Unknown,6.0,35,Madanrai Vakil,Sardar Akhtar,Mohan,Zohra
2012,131,Drama,6.0,35,Kawal Sharma,Rakesh Bedi,Nitin Gurbani,Rajit Kapoor
2011,88,"Comedy, Drama",6.2,395,Prashant Nair,Victor Banerjee,Siddharth Bhardwaj,Vidya Bhushan
1960,131,Unknown,6.0,35,Mohammed Hussain,Ajit,Shakila,Pran
1935,131,Action,6.0,35,Dhirubhai Desai,Ansuya,Ashiq Hussain,Samson
2018,131,Unknown,6.0,35,Shashi Pal,Unknown,Unknown,Unknown
2012,96,"Animation, Adventure, Comedy",5.6,35,Nikkhil Advani,Govinda,Akshaye Khanna,Urmila Matondkar
2009,141,Drama,6.1,35,Rakeysh Omprakash Mehra,Waheeda Rehman,Abhishek Bachchan,Sonam Kapoor
2007,131,"Drama, Romance",4.2,183,Kumar Anand,Jimmy Sheirgill,Neha Dhupia,Manoj Bakshi
2012,94,Music,5.9,48,Samit Kakkad,Akhilesh,Sulabha Arya,Raqesh Bapat
2017,131,Biography,6.0,35,Ranveer Pratap Singh,Garima Agarwal,Anjali Arora,Aishwarrya Khanna
2020,90,"Sci-Fi, Thriller",6.0,35,Jha Nitesh,Unknown,Unknown,Unknown
2012,141,"Action, Crime, Thriller",3.1,965,Ram Gopal Varma,Sanjay Dutt,Rana Daggubati,Lakshmi Manchu
1981,131,Animation,6.0,35,Bhimsain,Unknown,Unknown,Unknown
1978,131,"Drama, Family",7.1,151,Dev Anand,Dev Anand,Ajit,Pran
2007,148,"Action, Drama, Romance",6.2,35,Puri Jagannadh,Allu Arjun,Hansika Motwani,Pradeep Singh Rawat
2021,98,Drama,6.0,35,Himanshu Gulati,Anangsha Biswas,Megha Chakraborty,Anil Charanjeett
2002,130,Drama,4.9,50,Raja Sen,Jaya Bachchan,Sabyasachi Chakrabarty,Subhendu Chatterjee
1940,131,Unknown,6.0,35,W.M. Khan,Unknown,Unknown,Unknown
1935,167,Unknown,6.0,35,Chandulal Shah,Gohar,Eddie Billimoria,Raja Sandow P.K.
1935,160,Unknown,6.0,35,J.B.H. Wadia,Sharifa,Iqbal,Sardar Mansur
2002,150,Drama,6.0,35,Milind Ukey,Rekha Rao,Jaya Seal,Raj Singh Verma
1980,158,Action,5.5,11,Prakash Mehra,Saira Banu,Navin Nischol,Rakesh Pandey
2008,140,"Action, Thriller",1.4,35,Jagdish A. Sharma,Kamal Rashid Khan,Gracy Singh,Hrishitaa Bhatt
1989,131,Action,3.9,14,Swaroop Kumar,Raaj Kumar,Navin Nischol,Aditya Pancholi
1972,131,Action,6.0,35,Kishore Ahibasi,Vasant Khanna,Unknown,Unknown
1982,165,"Action, Comedy, Drama",6.0,536,Manmohan Desai,Amitabh Bachchan,Hema Malini,Navin Nischol
1948,131,Action,6.0,35,Nanubhai Vakil,Ansari,Anwari,Suraiya Chowdhary
1991,145,"Action, Crime, Drama",3.6,12,Rajiv Goswami,Tom Alter,Mahesh Bhatt,Poonam Dhillon
2011,122,"Comedy, Drama",5.7,35,Rohit Dhawan,Akshay Kumar,John Abraham,Deepika Padukone
2014,139,Action,4.0,126,Kumar Anand,Akhil Kapur,Tia Bajpai,Jay Bhanushali
2021,131,"Comedy, Romance",6.0,35,Mehul Atha,Cait Alexander,Ameesha Patel,Esha Gupta
2004,131,Comedy,6.0,35,Viraj Patel,Viraj Patel,Akrita Srivastava,Unknown
1991,131,Family,6.0,35,Ajay Dixit,Radhika Madan,Siddhant Chaturvedi,Unknown
2017,110,"Action, Drama",6.0,35,Bhupendra Singh,Bhupendra Singh,Khan Tariq Warsi,Soni Jha
1936,151,Unknown,6.0,35,P.C. Barua,P.C. Barua,Prithviraj Kapoor,Krishna Chandra Dey
2021,78,Drama,6.0,35,Saptarishi Pratim,Tirrtha Murbaadkar,Rammnik Singh,Harish Kulkarni
1958,114,Mystery,6.4,15,Shakti Samanta,Pradeep Kumar,Mala Sinha,Johnny Walker
2015,139,"Action, Crime, Drama",7.7,35,Dibakar Banerjee,Sushant Singh Rajput,Anand Tiwari,Neeraj Kabi
2009,140,"Crime, Drama, Family",6.2,76,Romilla Mukherjee,Ava Mukherjee,Zain Khan,Simran Singh
2004,172,Drama,6.9,35,Govind Nihalani,Amitabh Bachchan,Om Puri,Fardeen Khan
1955,131,"Action, Drama, Romance",5.8,16,Phani Majumdar,Dev Anand,Geeta Bali,Manmohan Krishna
1946,131,Unknown,6.0,35,Dhirubhai Desai,Leela Desai,Leela Chitnis,Ulhas
1963,131,Fantasy,6.0,35,S.N. Tripathi,Shree Bhagwan,Anita Guha,Sheila Kashmiri
2019,46,"Comedy, Drama",6.0,35,Natin Mishra,Harsha Hirwani,Natin Mishra,Himanshu Shah
2009,144,"Drama, Romance",8.0,35,Anurag Kashyap,Abhay Deol,Mahie Gill,Kalki Koechlin
1995,131,Action,6.0,35,Kranthi Kumar,Chiranjeevi,Nagma,Paresh Rawal
1934,131,Unknown,6.0,35,Dinshaw Bilimoria,Dulari,Ruby Mayer,Raja Sandow P.K.
2005,87,Drama,4.2,31,Bappaditya Bandopadhyay,Ram Kapoor,Suman Ranganath,Arvin Tucker
2020,89,Thriller,6.0,35,Jimpa Bhutia,Sunny Basoya,Prateek Chaturvedi,Sajal Sharma
1966,156,"Crime, Drama, Romance",7.2,81,Mohan Segal,Dharmendra,Sharmila Tagore,Shashikala
1946,131,Unknown,6.0,35,S.M. Yusuf,Agha,Khurshid Begum,Jyoti
1958,131,Drama,6.5,6,Kedar Kapoor,Rajendra Kumar,Leela Mishra,Ram Mohan
1986,131,Drama,6.0,35,Shoma Anand,Sudhir Dalvi,Arun Govil,Dev Kumar
1978,148,"Drama, Family",7.1,50,S. Ramanathan,Sanjeev Kumar,Shabana Azmi,Rakesh Roshan
1938,152,Unknown,6.0,35,Rajkumari,Unknown,Unknown,Unknown
2002,185,"Drama, Musical, Romance",7.6,35,Sanjay Leela Bhansali,Shah Rukh Khan,Aishwarya Rai Bachchan,Madhuri Dixit
1936,139,"Drama, Romance",6.2,91,P.C. Barua,K.L. Saigal,A.H. Shore,Pahadi Sanyal
1955,159,"Drama, Musical, Romance",7.9,35,Bimal Roy,Dilip Kumar,Suchitra Sen,Vyjayanthimala
1945,131,Drama,6.0,35,Phani Majumdar,Monica Desai,Krishna Chandra Dey,Prithviraj Kapoor
1970,131,"Drama, Family",6.6,19,V. Madhusudan Rao,Nutan,Sanjeev Kumar,Rehman
2002,146,"Biography, Drama, History",6.6,17,Jayoo,Natiker,Sadashiv Amrapurkar,Shabana Azmi
1992,97,Drama,6.0,35,Ramanarayanan,Chandrashekhar,Kitu Gidwani,Kanagana
2019,117,Drama,7.8,15,Aditya Kripalani,Ahmareen Anjum,Chitrangada Chakraborty,Vibhawari Deshpande
1989,131,Drama,6.0,35,Unknown,Unknown,Unknown,Unknown
1931,150,Unknown,6.0,35,Chandulal Shah,Gohar,Kamlabai Gokhale,Dinshaw Bilimoria
2001,131,Fantasy,5.6,16,Pughalmani,Devayani,Meena,Varalakshmi P.R.
2006,131,Fantasy,6.6,14,Ramanarayanan,Meena,Charan Raj,Ramki
1986,86,Drama,6.0,35,Sudha Chandran,Manorama,Radha Ravi,Unknown
2005,131,Drama,6.0,35,Perala,Umashree,Unknown,Unknown
2004,161,"Action, Drama, Fantasy",5.8,260,Kodi Ramakrishna,Venkatesh Daggubati,Anjala Zaveri,Soundarya
2019,79,Drama,5.2,16,Kshitij Sharma,Kshitij Sharma,Anoma Pabuwal,Deeya Dey
2019,89,"Comedy, Drama, Fantasy",2.6,172,Ghorban Mohammadpour,Hamid Farokhnezhad,Esha Gupta,Jackie Shroff
2007,131,Crime,6.0,35,Hemant Verma,Raman Atre,Shikha Joshi,Asmita Sharma
2014,131,"Action, Drama, Romance",6.0,35,Rajkumar R. Pandey,Pakhi Hegde,Awdhesh Mishra,Monalisa
1956,178,"Adventure, Drama",5.7,16,Pattanna,Vyjayanthimala,Anjali Devi,Gemini Ganesan
1998,177,Action,3.5,21,Jagdish A. Sharma,Arun Bakshi,Mithun Chakraborty,Mushtaq Khan
1952,131,Unknown,6.0,35,Mahipal,Unknown,Unknown,Unknown
2018,135,Action,5.5,13,Paresh Naik,Sameera Awasthi,Nandita Das,Sandeep Kulkarni
2000,167,"Drama, Romance",3.7,35,Raj Kanwar,Abhishek Bachchan,Aishwarya Rai Bachchan,Amrish Puri
2021,131,Action,6.0,35,Razneesh Ghai,Sharib Hashmi,Kangana Ranaut,Arjun Rampal
1997,148,"Action, Drama",5.1,68,Sameer Malkan,Vinod Khanna,Sunil Shetty,Gautami
1992,136,Action,6.0,35,Amar Bhattacharya,Alka,Sanjeev Chauhan,Sulabha Deshpande
1998,131,Romance,6.1,7,Sanjeev Naik,Deepak Deulkar,Shoaib Khan,Harsha Mehra
2018,138,"Drama, Romance",4.5,35,Shashank Khaitan,Janhvi Kapoor,Ishaan Khattar,Ashutosh Rana
2000,161,"Drama, Romance",6.5,35,Dharmesh Darshan,Akshay Kumar,Shilpa Shetty Kundra,Sunil Shetty
1946,131,Unknown,6.0,35,Chandrika,Zahur Raja,Unknown,Unknown
2006,146,"Action, Crime, Drama",4.4,12,Imran Khalid,Attin Bhalla,Preeti,Harsh Chhaya
2019,131,Romance,6.0,35,Raajeev Walia,Zuber K. Khan,Unknown,Unknown
2007,117,"Romance, Family, Drama",6.0,35,Dinesh Chaudhary,Uttar Kumar,Raju Maan,Suman Negi
2017,126,Drama,6.0,35,Ramveer Tomar,Kavita Joshi,Uttar Kumar,Unknown
1956,131,"Comedy, Drama",6.0,35,J.K. Nanda,Madhubala,Rajan Haksar,Jagdeep
2005,131,Action,6.0,35,Jagapathi Babu,Neha Bamb,Prakash Raj,Unknown
2007,136,"Action, Adventure, Comedy",7.3,35,Indra Kumar,Sanjay Dutt,Riteish Deshmukh,Arshad Warsi
1980,131,"Action, Thriller",6.0,35,Jagdeep,Kiran Kumar,Raza Murad,Sarika
2021,131,"Action, Thriller",6.0,35,Ram Madhvani,Kartik Aaryan,Mrunal Thakur,Vishwajeet Pradhan
1973,132,"Action, Crime, Drama",5.4,14,Kalpataru,Vinod Khanna,Kumkum,Mehmood Jr.
2005,131,"Action, Thriller",2.5,15,Aziz Chhapra,Rajat Bedi,Shweta Menon,Sadhika
1945,131,Unknown,6.0,35,Ravindra Dave,Ragni,Unknown,Unknown
1980,146,Drama,6.5,57,Harish Shah,Rishi Kapoor,Neetu Singh,Pran
2007,167,"Drama, Sport",5.0,35,Vivek Agnihotri,John Abraham,Arshad Warsi,Bipasha Basu
2021,131,Thriller,6.0,35,Akhil Parashar,Shahbaaz Khan,Ashmit Patel,Zuber K. Khan
2004,131,Unknown,6.0,35,Laxmikant Berde,Reena Kapoor,Raza Murad,Nirmal Pandey
1941,131,Unknown,6.0,35,Noor Mohammad Charlie,Unknown,Unknown,Unknown
1997,131,Drama,6.0,35,Dipak Roy,Unknown,Unknown,Unknown
1945,131,Fantasy,6.0,35,Kidar Nath Sharma,Kamal Zamindar,Kamala Chatterjee,N. Kabir
2004,131,Thriller,6.0,35,Harinam Singh,Anil Nagrath,Harinam Singh,Vinod Tripathi
1993,123,"Comedy, Drama, Romance",3.4,252,K. Viswanath,Ajay Devgn,Manisha Koirala,Karisma Kapoor
1948,131,Unknown,6.0,35,Ramanlal Desai,Ramesh Vyas,Veena Kohli,Ramlal Gosh
1937,131,Unknown,6.0,35,Premankur Atorthy,Unknown,Unknown,Unknown
1946,131,Unknown,6.0,35,Radha,Unknown,Unknown,Unknown
1981,152,"Crime, Drama, Family",7.3,55,Surendra Mohan,Rajesh Khanna,Reena Roy,Rakesh Roshan
1948,131,Drama,6.0,35,Gajanan Jagirdar,Agha,Gajanan Jagirdar,Vikram Kapoor
2018,131,Crime,6.0,35,Siddharth Nagar,Varsha Manikchand Shrivastav,Vishal Anand,Jaya Bhattacharya
2008,95,"Drama, Romance",4.3,11,Masud Mirza,Sudhanshu Pandey,Hrishitaa Bhatt,Anuj Punj
2016,148,Drama,4.4,16,Jitendra Singh Naruka,Muntazir Ahmad,Dipti Dhotre,Dipti
1997,150,Action,6.0,35,K.S. Ravikumar,Deepti Bhatnagar,Rambha,Vijayakanth
1993,131,Action,6.0,35,Sunil Nayyar,Sharndeep Bains,Bhupinder Bhindi,Gulshan Grover
1982,131,"Action, Drama",6.2,77,Sultan Ahmed,Raaj Kumar,Rajesh Khanna,Jeetendra
1991,131,Action,5.8,10,Kodanda Rami Reddy A.,Nagarjuna Akkineni,Ramya Krishnan,Akkineni Nageshwara Rao
1975,159,"Family, Drama",6.0,140,Randhir Kapoor,Raj Kapoor,Randhir Kapoor,Rekha
1991,155,"Action, Drama",3.5,21,N.D. Kothari,Vinod Khanna,Amrita Singh,Sahila Chaddha
2015,129,Comedy,6.3,35,Fuwad Khan,Naseeruddin Shah,Paresh Rawal,Annu Kapoor
2004,131,Drama,6.0,35,Unknown,Unknown,Unknown,Unknown
1988,131,"Action, Crime, Thriller",4.3,7,Harmesh Malhotra,Shatrughan Sinha,Reena Roy,Mahesh Anand
1977,165,"Action, Adventure, Comedy",6.7,715,Manmohan Desai,Dharmendra,Zeenat Aman,Jeetendra
1988,131,"Drama, Mystery, Thriller",5.8,24,Sudarshan Nag,Sunil Dutt,Shatrughan Sinha,Kimi Katkar
1996,131,Action,6.0,35,K. Viswanath,Chiranjeevi,Charan Raj,Sumalatha
1934,131,Unknown,6.0,35,Radha,Unknown,Unknown,Unknown
1992,120,"Crime, Drama",7.0,289,Sudhir Mishra,Somesh Agarwal,Shabana Azmi,Pramod Bala
2002,131,Drama,6.3,12,Susant Misra,Ragesh Asthana,Ashok Chaudhary,Robin Das
1972,131,"Action, Family, Thriller",6.7,26,Devendra Goel,Sanjay Khan,Mumtaz,Rajendranath Malhotra
1945,131,Unknown,6.0,35,Rattan Bai,Dinshaw Bilimoria,M. Ismail,Madhuri
1986,159,"Action, Comedy, Drama",5.8,94,K. Raghavendra Rao,M. Madhusudhana Rao,Dilip Kumar,Jeetendra
1984,131,"Adventure, Crime, Thriller",6.7,37,Joshiy,Rajesh Khanna,Dharmendra,Vinod Mehra
1973,131,"Action, Comedy, Crime",7.0,26,Chand,Pran,Navin Nischol,Rekha
1940,131,Unknown,6.0,35,Jagatrai Pesumal Advani,Zebunissa,Unknown,Unknown
1997,128,"Action, Drama",5.8,34,Ravi Varma,Gajendra Chauhan,Dan Dhanoa,Dharmendra
1935,131,Unknown,6.0,35,Hiren Bose,Sardar Akhtar,Digamber Kumar,Hari Shivdasani
1953,106,Drama,6.0,35,Ramchandra Thakur,Nirupa Roy,Mahipal,Moti Sagar
2021,131,Drama,6.0,35,Megastar Maharishi Aazaad,Megastar Maharishi Aazaad,Unknown,Unknown
1989,131,Action,6.0,35,Amala Akkineni,Mammootty,Unknown,Unknown
1935,152,Unknown,6.8,6,Shantaram Rajaram Vankudre,Bal Gandharva,Ratnaprabha,K. Narayan Kale
1975,163,"Action, Romance, Thriller",6.7,295,Feroz Khan,Prem Nath,Feroz Khan,Hema Malini
1937,156,Unknown,6.0,35,Master Vinayak,Ratnaprabha,Master Vinayak,Baburao Pendharkar
1961,150,Drama,7.3,87,Yash Chopra,Mala Sinha,Shashi Kapoor,Rehman
1970,131,"Action, Adventure, Drama",6.7,41,C.V. Sridhar,Rajendra Kumar,Waheeda Rehman,Balraj Sahni
1946,131,Unknown,6.0,35,Manibhai Vyas,Mumtaz Shanti,Trilok Kapoor,Padma Banerji
2011,126,"Crime, Drama, Thriller",7.0,357,Navaniat Singh,Jimmy Sheirgill,Surveen Chawla,Japji Khaira
1943,131,Drama,6.0,35,Sohrab Modi,Unknown,Unknown,Unknown
1969,131,"Drama, Romance",7.4,59,Dulal Guha,Nanda,Jeetendra,Sanjeev Kumar
1971,131,Drama,6.0,35,Navin,Som Dutt,Poonam Sinha,Shatrughan Sinha
1950,125,"Drama, History",6.4,16,Khwaja Ahmad Abbas,Rashid Ahmed,Hameed Butt,Usha Dutta
1987,131,Action,6.0,35,Sonika Gill,Jainendra,Daljit Kaur,Sabeeha
1938,165,Drama,6.0,35,Nitin Bose,K.L. Saigal,Krishna Chandra Dey,Umasashi
1993,131,"Action, Drama",6.1,68,Iqbal Durrani,Mammootty,Jaya Prada,Rishi Kapoor
1983,131,Comedy,6.2,12,Meraj,Ravi Baswani,Abhi Bhattacharya,Akhil Mishra
2020,131,"Drama, Romance, Sport",7.3,64,Ravi Adhikari,Muntazir Ahmad,Ali Murad,Priya Banerjee
2017,128,"Drama, Family",7.8,235,Manish Saini,Naseeruddin Shah,Kahaan,Karan Patel
2001,158,"Action, Drama",7.0,810,Dharani,Vikram,Laila,Ashish Vidyarthi
2020,117,Animation,6.5,388,Arun Kumar Rapolu,Vivek Oberoi,Vijay Sethupathi,Sai Srinivas Bellamkonda
1942,131,Unknown,6.0,35,Chaturbhuj Doshi,Unknown,Unknown,Unknown
1952,131,Drama,6.0,35,Phani Majumdar,Jagdeep,Usha Kiran,Kishore Kumar
2010,100,Drama,7.0,35,Kiran Rao,Prateik,Monica Dogra,Kriti Malhotra
1991,131,Comedy,6.0,35,Sharmila Sankar,Priya Gamre,Sunil Malik,Sachin Aute
1984,131,Action,6.0,35,Chand,Shatrughan Sinha,Vidya Sinha,Padmini Kapila
1946,131,Comedy,6.0,35,R. Shivraj,Baburao Pahelwan,Agha,Chandrika
2007,117,"Action, Drama, Romance",6.2,455,Pooja Bhatt,Muzamil Ibrahim,Tulip Joshi,Aushima Sawhney
2007,145,"Comedy, Crime, Mystery",6.3,35,Priyadarshan,Aman Ullah,Sharman Joshi,Tusshar Kapoor
1956,131,Unknown,6.0,35,N.R. Acharya,Pradeep Kumar,Krishna Kumari,Kumkum
1951,155,"Comedy, Romance",6.3,6,Roop K. Shorey,Ajit,Meena Shorey,Shyamlal
1979,122,"Action, Comedy, Drama",4.5,22,Ashok Roy,Randhir Kapoor,Neetu Singh,Asrani
1959,153,Drama,6.7,158,Yash Chopra,Mala Sinha,Rajendra Kumar,Nanda
2004,129,"Action, Crime, Drama",6.7,35,Sanjay Gadhvi,Abhishek Bachchan,John Abraham,Uday Chopra
2006,152,"Action, Crime, Thriller",6.5,35,Sanjay Gadhvi,Hrithik Roshan,Abhishek Bachchan,Aishwarya Rai Bachchan
2013,172,"Action, Crime, Thriller",5.4,35,Vijay Krishna Acharya,Aamir Khan,Katrina Kaif,Abhishek Bachchan
2008,128,"Comedy, Crime, Drama",3.4,87,Shashi Ranjan,Jackie Shroff,Anupam Kher,Satish Shah
1949,131,Unknown,6.0,35,Agha,Leela Mishra,Baburao Pahelwan,Urvashi
1949,131,Unknown,6.0,35,Fearless Nadia,John Cawas,Sona Chatterjee,Rajni
1985,113,Drama,6.4,8,K. Gopal Krishnan,Manohar Mahajan,Unknown,Unknown
1953,131,"Drama, Romance",7.0,29,M. Kumar,Eddie Billimoria,Raj Kapoor,M. Kumar
1998,131,"Comedy, Drama, Family",4.8,40,Kumar Bhatia,Amar Upadhyay,Antara Mali,Tinnu Anand
2009,131,"Comedy, Drama",5.6,751,Umesh Shukla,Paresh Rawal,Kunal Khemu,Sonu Sood
2003,126,Drama,7.2,242,Ashwini Chaudhary,Om Puri,Revathi,Gul Panag
1991,131,Music,6.0,35,Rekha Bhardwaj,Unknown,Unknown,Unknown
1935,129,Unknown,5.7,7,Nitin Bose,Biswanath Bhaduri,Vikram Kapoor,Nawab
1954,131,Unknown,6.0,35,Shyama,Bharat Bhushan,Krishna Kumari,Agha
1977,131,Drama,5.5,30,Prahlad Sharma,Sanjeev Kumar,Hema Malini,Yogeeta Bali
2020,131,Drama,6.0,35,Vinay Agrahari,Rakesh Chaturvedi Om,Mithilesh Singh,Simran Nisha
1975,139,Comedy,4.5,19,Mohan Choti,Bindu,Laxmi Chhaya,Mohan Choti
2006,123,Action,6.0,35,Asif Ali,Asif Ali,Uttar Kumar,Megha Mehar
